data,casosAcumulados,casosNovos,descartados,recuperados,obitosAcumulados,obitosNovos,Letalidade
2020-08-27,104096,883,129292,71109,2388,17,0.02294
2020-08-26,103213,1005,127794,68072,2371,21,0.022972
2020-08-25,102208,905,125038,64944,2350,20,0.022992
2020-08-24,101303,171,123654,63037,2330,22,0.023
2020-08-23,101132,162,123082,62674,2308,20,0.022822
2020-08-22,100970,680,122837,62409,2288,20,0.02266
2020-08-21,100290,845,122089,61725,2268,24,0.022614
2020-08-20,99445,951,120964,60655,2244,21,0.022565
2020-08-19,98494,997,119323,58031,2223,20,0.02257
2020-08-18,97497,1274,116976,55572,2203,20,0.022596
2020-08-17,96223,190,115018,53363,2183,21,0.022687
2020-08-16,96033,445,114723,52891,2162,24,0.022513
2020-08-15,95588,928,114537,52249,2138,25,0.022367
2020-08-14,94660,866,111883,50326,2113,21,0.022322
2020-08-13,93794,897,110505,48585,2092,21,0.022304
2020-08-12,92897,1078,108154,47111,2071,25,0.022294
2020-08-11,91819,1453,107010,45744,2046,23,0.022283
2020-08-10,90366,284,106538,44155,2023,23,0.022387
2020-08-09,90082,189,106530,43916,2000,17,0.022202
2020-08-08,89893,776,106527,43682,1983,18,0.02206
2020-08-07,89117,1250,106523,42971,1965,20,0.02205
2020-08-06,87867,796,106518,41746,1945,23,0.022136
2020-08-05,87071,1311,106513,40094,1922,21,0.022074
2020-08-04,85760,1549,106500,38554,1901,31,0.022167
2020-08-03,84211,203,106492,36907,1870,20,0.022206
2020-08-02,84008,547,106480,36678,1850,17,0.022022
2020-08-01,83461,667,106465,36179,1833,22,0.021962
2020-07-31,82794,1686,96753,35971,1811,26,0.021874
2020-07-30,81108,1210,94688,34588,1785,19,0.022008
2020-07-29,79898,1723,93193,33636,1766,21,0.022103
2020-07-28,78175,1482,91182,32324,1745,18,0.022322
2020-07-27,76693,540,88852,30899,1727,29,0.022518
2020-07-26,76153,430,88027,30587,1698,23,0.022297
2020-07-25,75723,1173,87775,30378,1675,22,0.02212
2020-07-24,74550,1446,85903,29628,1653,35,0.022173
2020-07-23,73104,2132,84047,28566,1618,37,0.022133
2020-07-22,70972,2128,81560,26525,1581,23,0.022276
2020-07-21,68844,1164,78605,25028,1558,41,0.022631
2020-07-20,67680,298,76190,24486,1517,31,0.022414
2020-07-19,67382,411,76186,24439,1486,9,0.022053
2020-07-18,66971,624,76176,24437,1477,31,0.022054
2020-07-17,66347,924,76102,24390,1446,28,0.021795
2020-07-16,65423,1484,75757,24253,1418,35,0.021674
2020-07-15,63939,1477,74399,23695,1383,41,0.02163
2020-07-14,62462,1354,73028,23027,1342,40,0.021485
2020-07-13,61108,324,71609,22468,1302,18,0.021307
2020-07-12,60784,363,71257,22292,1284,34,0.021124
2020-07-11,60421,1303,70966,22116,1250,21,0.020688
2020-07-10,59118,1504,69567,21481,1229,33,0.020789
2020-07-09,57614,1270,68388,20604,1196,25,0.020759
2020-07-08,56344,1542,67549,19999,1171,26,0.020783
2020-07-07,54802,1651,64933,19373,1145,27,0.020893
2020-07-06,53151,423,59341,18435,1118,19,0.021034
2020-07-05,52728,422,58865,18049,1099,17,0.020843
2020-07-04,52306,1541,58569,17798,1082,20,0.020686
2020-07-03,50765,1229,52476,16971,1062,18,0.02092
2020-07-02,49536,1361,48272,16349,1044,42,0.021076
2020-07-01,48175,1218,45395,15359,1002,25,0.020799
2020-06-30,46957,1900,43070,14930,977,46,0.020806
2020-06-29,45057,378,40423,14232,931,20,0.020663
2020-06-28,44679,437,39906,13880,911,15,0.02039
2020-06-27,44242,1410,39353,13756,896,32,0.020252
2020-06-26,42832,2008,37751,12962,864,22,0.020172
2020-06-25,40824,912,35550,121113,842,14,0.020625
2020-06-24,39912,913,34924,11687,828,21,0.020746
2020-06-23,38999,1746,34140,11287,807,23,0.020693
2020-06-22,37253,469,32562,10335,784,18,0.021045
2020-06-21,36784,263,32028,10213,766,23,0.020824
2020-06-20,36521,1428,31842,9956,743,19,0.020344
2020-06-19,35093,3333,30083,9366,724,15,0.020631
2020-06-18,31760,48,27365,7978,709,13,0.022324
2020-06-17,31712,1584,27347,7972,696,25,0.021948
2020-06-16,30128,1460,25795,7500,671,15,0.022272
2020-06-15,28668,655,24402,6890,656,23,0.022883
2020-06-14,28013,559,24022,6689,633,10,0.022597
2020-06-13,27454,898,23915,6477,623,13,0.022693
2020-06-12,26556,1186,23189,6329,610,40,0.02297
2020-06-11,25370,1338,22364,5620,570,11,0.022467
2020-06-10,24032,1580,21385,5090,559,25,0.023261
2020-06-09,22452,1501,20650,4671,534,27,0.023784
2020-06-08,20951,641,20540,4340,507,23,0.024199
2020-06-07,20310,523,20341,4236,484,17,0.023831
2020-06-06,19787,1208,20333,4188,467,16,0.023601
2020-06-05,18579,1000,18730,3945,451,13,0.024275
2020-06-04,17579,1561,17516,3633,438,24,0.024916
2020-06-03,16018,1159,16043,3175,414,35,0.025846
2020-06-02,14859,1164,13270,2920,379,9,0.025506
2020-06-01,13695,533,12068,2637,370,10,0.027017
2020-05-31,13162,300,10975,2492,360,14,0.027351
2020-05-30,12862,851,10524,2472,346,19,0.026901
2020-05-29,12011,879,9495,2435,327,9,0.027225
2020-05-28,11132,923,8495,2430,318,20,0.028566
2020-05-27,10209,1290,7995,2232,298,12,0.02919
2020-05-26,8919,903,7845,2225,286,7,0.032066
2020-05-25,8016,193,7284,2218,279,7,0.034805
2020-05-24,7823,315,7178,2208,272,14,0.034769
2020-05-23,7508,626,6958,2203,258,10,0.034363
2020-05-22,6882,644,6529,2003,248,3,0.036036
2020-05-21,6238,400,6245,1997,245,15,0.039275
2020-05-20,5838,538,6145,1847,230,11,0.039397
2020-05-19,5300,514,5669,1747,219,12,0.041321
2020-05-18,4786,439,5356,1462,207,13,0.043251
2020-05-17,4347,284,5006,1171,194,11,0.044628
2020-05-16,4063,324,4739,1088,183,13,0.045041
2020-05-15,3739,378,4480,1069,170,10,0.045467
2020-05-14,3361,316,4233,731,160,3,0.047605
2020-05-13,3045,268,3674,630,157,3,0.05156
2020-05-12,2777,252,3137,601,154,15,0.055456
2020-05-11,2525,184,2785,537,139,4,0.05505
2020-05-10,2341,185,2526,537,135,11,0.057668
2020-05-09,2156,126,2490,490,124,10,0.057514
2020-05-08,2030,181,2414,490,114,3,0.056158
2020-05-07,1849,192,2356,490,111,10,0.060032
2020-05-06,1657,164,2247,320,101,9,0.060954
2020-05-05,1493,132,2158,310,92,7,0.061621
2020-05-04,1361,142,2014,227,85,6,0.062454
2020-05-03,1219,50,1957,227,79,3,0.064807
2020-05-02,1169,135,1902,177,76,2,0.065013
2020-05-01,1034,108,1831,177,74,7,0.071567
2020-04-30,926,112,1695,156,67,5,0.072354
2020-04-29,814,115,1616,152,62,4,0.076167
2020-04-28,699,66,1531,149,58,5,0.082976
2020-04-27,633,90,1482,119,53,3,0.083728
2020-04-26,543,44,1421,119,50,1,0.0921
2020-04-25,499,52,1392,117,49,3,0.0982
2020-04-24,447,61,1351,117,46,2,0.1029
2020-04-23,386,41,1274,116,44,4,0.114
2020-04-22,345,44,1217,116,40,1,0.1159
2020-04-21,301,38,1161,116,39,6,0.1296
2020-04-20,263,18,1098,116,33,1,0.1255
2020-04-19,245,9,1053,99,32,3,0.1306
2020-04-18,236,31,1034,90,29,1,0.1229
2020-04-17,205,10,979,90,28,2,0.1366
2020-04-16,195,30,979,80,26,2,0.1333
2020-04-15,165,13,920,80,24,3,0.1455
2020-04-14,152,16,888,52,21,5,0.1382
2020-04-13,136,25,878,52,16,3,0.1176
2020-04-12,111,10,832,43,13,0,0.1171
2020-04-11,101,16,832,43,13,2,0.1287
2020-04-10,85,6,770,30,11,0,0.1294
2020-04-09,79,24,770,0,11,4,0.1392
2020-04-08,55,14,693,0,7,3,0.1273
2020-04-07,41,5,649,0,4,0,0.0976
2020-04-06,36,1,608,0,4,0,0.1111
2020-04-05,35,1,563,0,4,1,0.1143
2020-04-04,34,2,523,0,3,2,0.0882
2020-04-03,32,3,505,0,1,0,0.0313
2020-04-02,29,8,445,0,1,0,0.0345
2020-04-01,21,3,424,0,1,0,0.0476
2020-03-31,18,1,387,0,1,1,0.0
2020-03-30,17,2,367,0,0,0,0.0
2020-03-29,15,1,349,0,0,0,0.0
2020-03-28,14,4,348,0,0,0,0.0
2020-03-27,10,4,303,0,0,0,0.0
2020-03-26,6,1,227,0,0,0,0.0
2020-03-25,5,2,117,0,0,0,0.0
2020-03-24,3,1,100,0,0,0,0.0
2020-03-23,2,1,61,0,0,0,0.0
2020-03-22,1,0,40,0,0,0,0.0
2020-03-21,1,1,0,0,0,0,0.0
2020-03-20,0,0,0,0,0,0,0.0
2020-03-19,0,0,0,0,0,0,0.0
2020-03-18,0,0,0,0,0,0,0.0
2020-03-17,0,0,0,0,0,0,0.0
2020-03-16,0,0,0,0,0,0,0.0
